community	medium	receiver	donor	compound	scs	mus	mps	smetana
BI__EA	Alanine	BI	EA	M_cpd00001_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00007_e0	0.0	1.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00009_e0	0.0	0.625	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00011_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00012_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00013_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00020_e0	0.0	0.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00023_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00024_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00027_e0	0.0	0.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00028_e0	0.0	0.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00030_e0	0.0	1.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00033_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00034_e0	0.0	1.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00035_e0	0.0	1.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00036_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00039_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00041_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00042_e0	0.0	0.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00047_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00048_e0	0.0	0.75	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00053_e0	0.0	0.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00058_e0	0.0	1.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00059_e0	0.0	0.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00060_e0	0.0	0.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00063_e0	0.0	1.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00064_e0	0.0	0.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00065_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00066_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00067_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00069_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00071_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00073_e0	0.0	0.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00075_e0	0.0	0.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00076_e0	0.0	0.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00080_e0	0.0	0.5	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00081_e0	0.0	0.625	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00082_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00092_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00098_e0	0.0	0.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00099_e0	0.0	1.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00100_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00105_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00107_e0	0.0	0.0	0	0.0
BI__EA	Alanine	BI	EA	M_cpd00108_e0	0.0	0.0	1	0.0
BI__EA	Alanine	BI	EA	M_cpd00116_e0	0.0	0.0	0	0.0
