community	medium	receiver	donor	compound	scs	mus	mps	smetana
BI__LA	Cellobiose	BI	LA	M_cpd00277_e0	0.0	0.04	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00280_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00305_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00307_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00309_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00311_e0	0.0	0.05	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00314_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00322_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00355_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00363_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00367_e0	0.0	0.04	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00381_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00382_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00383_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00386_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00396_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00412_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00418_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00438_e0	0.0	0.42	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00450_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00531_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00540_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00550_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00588_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00609_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00635_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00637_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00644_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00653_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00654_e0	0.0	0.05	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00659_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00731_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00751_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00794_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd00971_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd01012_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd01017_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd01024_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd01030_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd01080_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	BI	LA	M_cpd01092_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	BI	LA	M_cpd01155_e0	0.0	0.0	0	0.0
